ID,Hour,value
p2994,321,0.0
p2995,321,0.0
p2996,321,0.0
p2997,321,0.0
p2998,321,0.0
p2999,321,0.0
p3000,321,0.0
p3001,321,0.0
p3002,321,0.0
p3003,321,0.0
p3004,321,0.0
p3005,321,0.0
p3006,321,0.0
p3007,321,0.13819
p3008,321,0.0
p3009,321,0.0
p3010,321,0.0
p3011,321,0.0
p3012,321,0.0
p3013,321,0.0
p3014,321,0.0
p3015,321,0.0
p3016,321,0.0
p3017,321,0.0142
p3018,321,0.0028
p3019,321,0.0
p3020,321,0.0
p3021,321,0.02
p3022,321,0.0
p3023,321,0.0
p3024,321,0.0
p3025,321,0.0
p3026,321,0.0
p3027,321,0.0
p3028,321,0.0
p3029,321,0.0
p3030,321,0.0
p3031,321,0.0
p3032,321,0.0
p3033,321,0.0
p3034,321,0.0093
p3035,321,0.0
p3036,321,0.0
p3037,321,0.0
p3038,321,0.0
p3039,321,0.0
p3040,321,0.0
p3041,321,0.0
p3042,321,0.0
p3043,321,0.0
p3044,321,0.0
p3045,321,0.0
p3046,321,0.0
p3047,321,0.0
p3048,321,0.0044
p3049,321,0.0
p3050,321,0.0
p3051,321,0.0
p3052,321,0.0091
p3053,321,0.0
p3054,321,0.0
p3055,321,0.0
p3056,321,0.0
p3057,321,0.0
p3058,321,0.0
p168,322,0.0
p176,322,0.0
p177,322,0.0
p185,322,0.0
p190,322,0.0
p191,322,0.0
p192,322,0.0
p193,322,0.0
p194,322,0.0
p195,322,0.0
p198,322,0.0
p199,322,0.0
p202,322,0.0
p205,322,0.0
p212,322,0.0
p213,322,0.0
p219,322,0.0
p220,322,0.0
p221,322,0.0
p222,322,0.0
p223,322,0.0
p224,322,0.0
p271,322,40.23513154050908
p278,322,0.0
p282,322,0.0
p285,322,0.0
p2752,322,0.0
p2753,322,0.0
p2754,322,0.0
p2755,322,0.0
p2756,322,0.0
p2757,322,0.0
p2758,322,0.0
p2759,322,0.0
p2760,322,0.0
p2761,322,0.0
p2762,322,0.0
p2763,322,0.0
p2764,322,0.0365
p2765,322,0.0144
p2766,322,0.0
p2767,322,0.0
p2768,322,0.0
p2769,322,0.0
p2770,322,0.0
p2771,322,0.0
p2772,322,0.0
p2773,322,0.0
p2774,322,0.0
p2775,322,0.0
p2776,322,0.0
p2777,322,0.0
p2778,322,0.0
p2779,322,0.0
p2780,322,0.0
p2781,322,0.0386
p2782,322,0.0
p2783,322,0.0
p2784,322,0.0
p2785,322,0.0
p2786,322,0.0
p2787,322,0.0
p2788,322,0.0
p2789,322,0.0
p2790,322,0.0
p2791,322,0.0
p2792,322,0.0
p2793,322,0.0135
p2794,322,0.0033
p2795,322,0.0
p2796,322,0.0
p2797,322,0.015
p2798,322,0.0
p2799,322,0.0
p2800,322,0.0
p2801,322,0.03211
p2802,322,0.0
p2803,322,0.0
p2804,322,0.0
p2805,322,0.0508
p2806,322,0.0
p2807,322,0.011
p2808,322,0.0
p2809,322,0.0
p2810,322,0.0
p2811,322,0.0
p2812,322,0.0
p2813,322,0.0
p2814,322,0.0
p2815,322,0.0
p2816,322,0.0
p2817,322,0.0
p2818,322,0.0
p2819,322,0.0
p2820,322,0.0
p2821,322,0.0
p2822,322,0.0
p2823,322,0.0
p2824,322,0.0
p2825,322,0.0
p2826,322,0.0
p2827,322,0.0
p2828,322,0.0
p2829,322,0.0
p2830,322,0.0
p2831,322,0.0
p2832,322,0.0
p2833,322,0.0
p2834,322,0.0
p2835,322,0.0
p2836,322,0.0
p2837,322,0.0
p2838,322,0.0
p2839,322,0.0
p2840,322,0.0
p2841,322,0.0
p2842,322,0.0
p2843,322,0.0
p2844,322,0.0
p2845,322,0.0
p2846,322,0.0
p2847,322,0.0
p2848,322,0.0
p2849,322,0.0
p2850,322,0.0
p2851,322,0.0
p2852,322,0.0
p2853,322,0.0
p2854,322,0.0
p2855,322,0.0
p2856,322,0.0
p2857,322,0.0
p2858,322,0.0
p2859,322,0.0022
p2860,322,0.0
p2861,322,0.0
p2862,322,0.0
p2863,322,0.0
p2864,322,0.0
p2865,322,0.0
p2866,322,0.0
p2867,322,0.0
p2868,322,0.0
p2869,322,0.0
p2870,322,0.0
p2871,322,0.0
p2872,322,0.0
p2873,322,0.0
p2874,322,0.0
p2875,322,0.0
p2876,322,0.0
p2877,322,0.0
p2878,322,0.0
p2879,322,0.0
p2880,322,0.0
p2881,322,0.0
p2882,322,0.0
p2883,322,0.0
p2884,322,0.0
p2885,322,0.0
p2886,322,0.0
p2887,322,0.0
p2888,322,0.0
p2889,322,0.0
p2890,322,0.0
p2891,322,0.0
p2892,322,0.0
p2893,322,0.0
p2894,322,0.0123
p2895,322,0.0
p2896,322,0.0
p2897,322,0.0
p2898,322,0.0
p2899,322,0.0
p2900,322,0.0
p2901,322,0.0
p2902,322,0.0
p2903,322,0.0
p2904,322,0.0
p2905,322,0.0
p2906,322,0.0
p2907,322,0.0
p2908,322,0.0
p2909,322,0.0
p2910,322,0.0
p2911,322,0.0
p2912,322,0.0
p2913,322,0.0
p2914,322,0.0
p2915,322,0.0
p2916,322,0.0
p2917,322,0.0
p2918,322,0.0
p2919,322,0.0
p2920,322,0.0
p2921,322,0.0
p2922,322,0.0
p2923,322,0.0
p2924,322,0.0
p2925,322,0.0
p2926,322,0.0
p2927,322,0.0
p2928,322,0.0
p2929,322,0.015200000000000003
p2930,322,0.0
p2931,322,0.0
p2932,322,0.0
p2933,322,0.0
p2934,322,0.0
p2935,322,0.012800000000000004
p2936,322,0.0
p2937,322,0.0
