id,From,To,Voltage,Reactance,Resistance,Circuits,ThermalLimit
l657_1,n4594,n4768,220,9.104198016,1.814790302,2,1.29
l6482_1,n4594,n4768,220,11.09363798,2.211356408,2,1.29
l536_1,n4590,n4769,220,22.22076603,4.429388577,2,1.29
l567_1,n4763,n4769,220,15.86037537,3.161536618,2,1.29
l722_1,n4594,n4769,220,4.484019541,0.893824493,2,1.29
l932_1,n4595,n4774,220,3.024534079,0.602897159,2,1.29
l603_1,n4771,n4775,220,3.459183779,0.689538295,2,1.29
l723_1,n4769,n4775,220,10.17021423,2.027285228,2,1.29
l933_1,n4774,n4775,220,2.307187583,0.459904502,2,1.29
l866_1,n4716,n4781,220,4.110677899,0.819404232,3,1.29
l934_1,n4775,n4789,220,5.181179612,1.032793278,2,1.29
l669_1,n4601,n4798,220,10.88297692,2.169364169,2,1.29
l829_1,n4600,n4798,220,4.419158548,0.880895392,2,1.29
l1156_1,n4600,n4799,220,8.211814374,1.63690652,2,1.29
l925,n4600,n4800,220,3.754950924,0.748495201,1,1.29
l5285,n4826,n4844,220,6.180526184,1.231998575,1,1.29
l650_1,n4587,n4847,220,18.44321198,3.67638777,2,1.29
l6688_1,n4617,n4847,220,7.171112088,1.429457559,2,1.29
l899_1,n5544,n5546,220,10.44395166,2.081850829,2,1.29
l726_1,n5544,n5549,220,17.53182128,3.494715205,2,1.29
l7493_1,n5549,n5551,220,12.50458001,2.49260731,2,1.29
l599,n5643,n5653,220,2.702850355,0.538774157,1,1.29
l602_1,n5653,n5655,220,2.639027293,0.526051952,2,1.29
l569_1,n5651,n5657,220,17.50429408,3.489228055,2,1.29
l714_1,n5656,n5657,220,13.79997176,2.750824935,2,1.29
l706_1,n4590,n5663,220,12.6441681,2.52043218,2,1.29
l716_1,n5663,n5666,220,9.032805643,1.800559264,2,1.29
l863_1,n5664,n5672,220,8.619664414,1.718205531,2,1.29
l865_1,n5646,n5672,220,5.763953336,1.148960798,2,1.29
l718_1,n5672,n5674,220,9.250635723,1.843980543,2,1.29
l6463_1,n5674,n5676,220,9.475214749,1.888747126,2,1.29
l6630_1,n5674,n5678,220,17.12398974,3.413419881,2,1.29
