id,zone,lat,lon
n4643,DE,51.62,6.617
n4644,DE,51.724,7.831
n4645,DE,51.704,7.831
n4646,DE,51.524,7.314
n4647,DE,51.504,7.314
n4648,DE,51.217,7.131
n4649,DE,51.197,7.131
n4650,DE,51.061,6.993
n4651,DE,51.041,6.993
n4652,DE,50.784,6.923
n4653,DE,50.764,6.923
n4654,DE,51.175038,6.870575
n4655,DE,51.125075,6.958466
n4656,DE,50.798,7.155
n4657,DE,50.778,7.155
n4658,DE,50.632042,7.098541
n4659,DE,50.888308,7.028503
n4660,DE,50.897836,7.215271
n4661,DE,51.495065,7.024384
n4662,DE,51.469,6.851
n4663,DE,51.449,6.851
n4664,DE,51.329754,6.81839
n4665,DE,51.409486,6.937866
n4666,DE,51.537794,6.834869
n4667,DE,51.58475,6.981812
n4668,DE,51.423,7.136
n4669,DE,51.403,7.136
n4670,DE,51.353,7.155
n4671,DE,51.333,7.155
n4672,DE,51.416,7.28
n4673,DE,51.396,7.28
n4674,DE,51.659779,7.065582
n4675,DE,51.470263,7.182312
n4676,DE,51.55,7.229
n4677,DE,51.53,7.229
n4678,DE,51.069,8.001
n4679,DE,51.049,8.001
n4680,DE,50.823,7.921
n4681,DE,50.803,7.921
n4682,DE,50.977453,7.518768
n4683,DE,50.894,8.058
n4684,DE,50.874,8.058
n4685,DE,50.929872,8.246613
n4686,DE,51.361,7.472
n4687,DE,51.341,7.472
n4688,DE,51.348628,7.695923
n4689,DE,51.437,7.397
n4690,DE,51.417,7.397
n4691,DE,51.4925,7.503662
n4692,DE,51.664,8.069
n4693,DE,51.644,8.069
n4694,DE,52.212656,7.128754
n4695,DE,52.464377,7.267456
n4696,DE,52.354,8.285
n4697,DE,52.334,8.285
n4698,DE,51.985,7.677
n4699,DE,51.965,7.677
n4700,DE,52.258,7.707
n4701,DE,52.238,7.707
n4702,DE,52.052,8.207
n4703,DE,52.032,8.207
n4704,DE,52.292,7.931
n4705,DE,52.272,7.931
n4706,DE,52.264,8.145
n4707,DE,52.244,8.145
n4708,DE,49.300054,8.605042
n4709,DE,49.283036,8.480072
n4710,DE,49.114332,8.54187
n4711,DE,49.208626,8.589935
n4712,DE,49.275869,8.964844
n4713,DE,49.156562,9.298553
n4714,DE,49.263324,9.547119
n4715,DE,50.543108,9.672089
n4716,DE,50.143466,8.809662
n4717,DE,49.999,8.535
n4718,DE,49.979,8.535
n4719,DE,49.381479,8.544617
n4720,DE,49.442,8.501
n4721,DE,49.422,8.501
