ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Latitude,Longitude
p216,n8046,ror,hydro,10.1,0.8,0,0,47.71598,10.825785
p217,n3490,ror,hydro,19.2,0.8,0,0,47.692726,10.797592
p218,n7704,ror,hydro,20,0.8,0,0,50.274724,7.458957
p225,n3502,ror,hydro,11.3,0.8,0,0,48.546994,10.86507
p226,n3500,ror,hydro,12,0.8,0,0,48.2704497,10.9773463
p227,n3481,ror,hydro,90,0.8,0,0,48.50499,9.28692
p228,n3315,ror,hydro,22.3,0.8,0,0,48.44132,11.99233
p229,n4772,ror,hydro,16.4,0.8,0,0,52.521937,10.360381
p230,n4611,ror,hydro,16.4,0.8,0,0,50.087362,7.135809
p231,n3311,ror,hydro,20.2,0.8,0,0,48.734459,11.14382
p232,n3318,ror,hydro,26.1,0.8,0,0,48.24856,12.6882725
p233,n3319,ror,hydro,16.2,0.8,0,0,48.6039132,12.3023425
p234,n3319,ror,hydro,14.8,0.8,0,0,48.622456,12.398037
p235,n4560,ror,hydro,39.8,0.8,0,0,51.09153428,13.60982895
p236,n3304,ror,hydro,36.6,0.8,0,0,47.74473,12.13573
p237,n3304,ror,hydro,30,0.8,0,0,47.64133,12.19903
p238,n3315,ror,hydro,27,0.8,0,0,48.3066864,11.858847
p239,n3501,ror,hydro,11.9,0.8,0,0,48.646423,10.879086
p240,n3322,ror,hydro,53.7,0.8,0,0,48.5797112,13.4082738
p241,n3322,ror,hydro,43.2,0.8,0,0,48.5533054,13.4336591
p242,n3318,ror,hydro,19.4,0.8,0,0,48.0261021,12.789632
p243,n3317,ror,hydro,25,0.8,0,0,48.974806,12.344002
p244,n3324,ror,hydro,12.6,0.8,0,0,48.667862,12.660027
p245,n7745,ror,hydro,12.6,0.8,0,0,49.79434,10.1813
p246,n3500,ror,hydro,12.1,0.8,0,0,48.21062,10.904933
p247,n3501,ror,hydro,10.9,0.8,0,0,48.692383,10.897786
p248,n3501,ror,hydro,18.9,0.8,0,0,48.735932,11.020923
p249,n3848,ror,hydro,46.7,0.8,0,0,47.56990573,7.810113464
p250,n3848,ror,hydro,30,0.8,0,0,47.585377,7.832657
p251,n3304,ror,hydro,35.1,0.8,0,0,47.83825,12.15333
p252,n3490,ror,hydro,45.5,0.8,0,0,47.651451,10.735525
p253,n3304,ror,hydro,38.2,0.8,0,0,47.96092,12.1561
p254,n8046,ror,hydro,12,0.8,0,0,48.148375,10.867023
p255,n3500,ror,hydro,12.2,0.8,0,0,48.180229,10.8833102
p256,n4788,ror,hydro,24,0.8,0,0,49.810941,6.843882
p257,n4516,ror,hydro,79.8,0.8,0,0,50.52438482,11.71438694
p258,n3500,ror,hydro,12.4,0.8,0,0,48.237449,10.92718
p259,n8046,ror,hydro,10.5,0.8,0,0,47.803187,10.904254
p260,n8046,ror,hydro,16.6,0.8,0,0,47.8001993,10.9026434
p261,n3304,ror,hydro,25,0.8,0,0,48.05736,12.22093
p262,n3320,ror,hydro,23.2,0.8,0,0,48.24932,12.86469
p263,n3308,ror,hydro,11.2,0.8,0,0,47.99629724,11.48542787
p264,n3324,ror,hydro,21.5,0.8,0,0,48.89659,12.55752
p265,n3489,ror,hydro,12.3,0.8,0,0,48.00795,10.118537
p266,n3303,ror,hydro,18,0.8,0,0,48.515233,12.101041
p267,n3318,ror,hydro,85.3,0.8,0,0,48.2518176,12.5873078
p268,n4510,ror,hydro,3.3,0.8,0,0,49.55226,12.28127
p269,n4510,ror,hydro,1.8,0.8,0,0,49.55226,12.28127
p270,n4510,ror,hydro,28,0.8,0,0,49.55226,12.28127
p272,n4603,ror,hydro,18.8,0.8,0,0,49.728029,6.624451
p273,n3318,ror,hydro,18.5,0.8,0,0,48.15393,12.65242
p274,n3304,ror,hydro,48,0.8,0,0,47.873938,11.87099
p275,n3304,ror,hydro,44,0.8,0,0,47.873938,11.87099
p276,n3305,ror,hydro,23.3,0.8,0,0,48.778103,11.60119
p277,n7769,ror,hydro,12.8,0.8,0,0,47.554694,11.291366
p279,n3324,ror,hydro,12.6,0.8,0,0,48.6960722,12.7977619
p280,n3312,ror,hydro,25,0.8,0,0,48.473474,11.95481
p281,n3304,ror,hydro,24.1,0.8,0,0,48.05699,12.22074
p283,n4767,ror,hydro,79.7,0.8,0,0,51.74223,10.91879
p284,n4788,ror,hydro,20,0.8,0,0,49.879784,6.948762
p286,n4611,ror,hydro,13.6,0.8,0,0,49.951074,7.023166
p287,n4630,steam,lignite,297,0.3232,0.363610181,29.67317532,50.995692,6.669039
p288,n4630,steam,lignite,299,0.3304,0.363610181,29.37717947,50.995692,6.669039
p289,n4630,steam,lignite,648,0.3376,0.363610181,29.09380903,50.995692,6.669039
p290,n4630,steam,lignite,628,0.3376,0.363610181,29.09380903,50.995692,6.669039
p291,n4630,steam,lignite,632,0.4048,0.363610181,26.93511619,50.995692,6.669039
p292,n4630,steam,lignite,125,0.3112,0.363610181,30.19693833,50.995692,6.669039
p293,n4630,steam,lignite,125,0.3112,0.363610181,30.19693833,50.995692,6.669039
p294,n4630,steam,lignite,295,0.316,0.363610181,29.98265959,50.995692,6.669039
p295,n4630,steam,lignite,295,0.328,0.363610181,29.47440087,50.995692,6.669039
p296,n4630,steam,lignite,15,0.3616,0.363610181,28.23074125,50.945598,6.663576
p297,n4630,steam,lignite,10,0.388,0.363610181,27.40468752,50.94564,6.66503
p298,n4630,steam,lignite,10,0.388,0.363610181,27.40468752,50.94564,6.66503
p299,n4544,steam,lignite,164,0.3544,0.363610181,28.47738771,52.48891639,13.49696159
p300,n4553,steam,lignite,875,0.4,0.363610181,27.06525453,51.182122,12.373287
p301,n4553,steam,lignite,875,0.3976,0.363610181,27.13150201,51.182122,12.373287
p302,n4548,steam,lignite,465,0.3496,0.363610181,28.64746277,51.41626317,14.56194878
p303,n4548,steam,lignite,465,0.352,0.363610181,28.56184544,51.41626317,14.56194878
p304,n4548,steam,lignite,857,0.4,0.363610181,27.06525453,51.41626317,14.56194878
p305,n4548,steam,lignite,640,0.4288,0.363610181,26.32812766,51.41918,14.5698
