Nuclear,Lignite,HardCoal,NaturalGas,Oil(light),Oil(heavy),OtherFuels,Waste,hydro,Biomass,Geothermal,wind onshore,wind offshore,sun
1,1,1,1,1,1,1,1,1,1,1,0.379193027,0.687366167,0
1,1,1,1,1,1,1,1,1,1,1,0.390468157,0.645182013,0
1,1,1,1,1,1,1,1,1,1,1,0.408603965,0.569807281,0
1,1,1,1,1,1,1,1,1,1,1,0.412146774,0.466809422,0
1,1,1,1,1,1,1,1,1,1,1,0.406804443,0.348179872,0
1,1,1,1,1,1,1,1,1,1,1,0.406635737,0.311777302,0
1,1,1,1,1,1,1,1,1,1,1,0.375818923,0.246466809,0
1,1,1,1,1,1,1,1,1,1,1,0.333052158,0.123340471,0.002786423
1,1,1,1,1,1,1,1,1,1,1,0.309545902,0.108779443,0.026127235
1,1,1,1,1,1,1,1,1,1,1,0.275861099,0.16124197,0.066512267
1,1,1,1,1,1,1,1,1,1,1,0.248024743,0.223554604,0.093109937
1,1,1,1,1,1,1,1,1,1,1,0.228173766,0.284368308,0.101252081
1,1,1,1,1,1,1,1,1,1,1,0.209306903,0.315417559,0.091336759
1,1,1,1,1,1,1,1,1,1,1,0.187881344,0.321413276,0.063725845
1,1,1,1,1,1,1,1,1,1,1,0.175875158,0.320342612,0.02511399
1,1,1,1,1,1,1,1,1,1,1,0.175847041,0.369379015,0.002062676
1,1,1,1,1,1,1,1,1,1,1,0.189624631,0.435974304,3.62E-05
1,1,1,1,1,1,1,1,1,1,1,0.197103894,0.489721627,0
1,1,1,1,1,1,1,1,1,1,1,0.199240827,0.521841542,0
1,1,1,1,1,1,1,1,1,1,1,0.206663855,0.552034261,0
1,1,1,1,1,1,1,1,1,1,1,0.217404752,0.56745182,0
1,1,1,1,1,1,1,1,1,1,1,0.215914523,0.543897216,0
1,1,1,1,1,1,1,1,1,1,1,0.217067341,0.574732334,0
1,1,1,1,1,1,1,1,1,1,1,0.229945171,0.612847966,0
1,1,1,1,1,1,1,1,1,1,1,0.248924504,0.650963597,0
1,1,1,1,1,1,1,1,1,1,1,0.277295093,0.675802998,0
1,1,1,1,1,1,1,1,1,1,1,0.311092366,0.688008565,0
1,1,1,1,1,1,1,1,1,1,1,0.360354281,0.690149893,0
